merval,spread,valor transado,LIX
454.07305,1.715075804,680472.2287,6.386873121
464.88371,1.631878659,730375.1679,6.175338141
478.08558,1.706487835,1521690.585,6.501773411
473.17662,1.872953279,1287060.656,6.594192788
476.14945,1.870888684,1080993.896,6.424991713
473.21377,1.703262804,883477.4609,6.310846649
465.81551,2.005623666,873324.79,6.289568935
473.51367,2.010837533,983631.51,6.360148368
465.41087,2.043285414,1057028.522,6.482296571
462.76243,1.590887096,1131367.71,6.490098289
465.7444,1.765621843,1377485.895,6.68180866
476.9999,2.16156409,2255763.249,6.592121443
480.884,2.347928975,2180205.932,6.64186809
482.88281,2.194442988,3544407.945,7.021259405
495.13374,1.971609329,2057051.977,6.623977548
500.31104,1.845991311,2122466.277,6.676493846
506.57699,1.699558259,2465418.765,6.700756741
511.08902,2.275788489,2045105.79,6.58897418
511.08902,2.275788489,2045105.79,6.58897418
512.29747,2.347832517,2130832.101,6.519993072
516.40281,2.157218852,1873393.801,6.610698767
525.48925,2.996638124,852530.3975,6.523327831
542.02584,2.799709714,903406.9817,6.254563209
536.44318,1.657667578,1207413.689,6.364353498
511.97157,1.660924962,1701908.141,6.314960412
489.86095,1.868338425,1171804.534,6.114196504
472.85564,1.446526839,944939.5622,5.999009845
462.95978,1.189903303,1163276.826,6.09708489
492.01803,1.631990895,1139457.332,5.94099673
490.35106,1.45372504,852828.7809,6.10945194
489.19771,1.294798072,839015.5706,6.107614899
484.20631,1.222853268,1032727.304,6.323456985
480.27053,1.55563633,636013.3699,6.210772791
469.53324,1.321410401,818630.2019,5.986336281
469.46778,1.825719173,946772.568,6.210846739
461.68407,1.08168373,505594.2705,5.754129858
463.8967,2.158279099,232018.9578,6.091594654
450.02752,1.204156233,840500.1469,5.85798558
459.0891,1.003988166,682074.8074,5.972310837
462.59351,1.105933683,1003794.637,6.373179242
459.68593,1.312323028,505445.9468,5.929581731
458.17498,1.316938223,474701.287,6.262545744
454.19691,1.486311465,725896.4782,6.137444623
453.34694,1.512421404,829789.2107,6.243102798
456.66629,1.527271321,877363.3058,6.545885601
458.60111,1.921367779,1008375.537,6.345366536
453.35532,1.323256686,541278.4751,6.117190989
443.69197,1.508959136,547852.8708,6.131469384
429.57932,1.790614549,848972.1174,6.071569367
427.95893,1.166813832,1377448.882,6.210763665
423.48527,1.051832345,730101.0597,6.049719416
408.2259,1.123620229,976798.1347,6.022502537
400.45509,1.073861775,962622.8172,6.357973298
403.25386,0.814798268,811733.4278,6.226443147
